,Comment,Sentiment Rating
77,"It's also good writing because his manipulation comes from understanding what being passionate about a craft is like. Just need to look at how moved and proud he looks when he sees Kaseki working; he has that ""Mama Bucciarati looking at his Children"" look",1
78,     And you didn't immediately stab him? You have the patience of a saint.,1
79,He's just completing all the loyalty missions.,1
80,Senku making glasses made me tear up. Suika being able to see is just so heartwarming. One of my favorite moments from the manga.,1
81,"As someone who is growing more and more dependant on glasses as the ages go by, that scene hit really hard. I couldn't imagine how hard would it be to live your entire life with shitty, blurry vision. We really take a lot of stuff for granted these days.    Things like this is why I love Dr. Stone. It's an insanely entertaining show that also makes you actually appreciate more things about life that you wouldn't even think about.",1
82,"     This is my favorite thing about the show. Senku keeps making things that none of the viewers would be amazed by but seeing the reactions of the villagers really puts things into perspective. I've had to wear glasses since I was a kid and every time I put them away whenever I go swimming, I realize how fucked I'd be if they were never invented. I'm pretty thankful I was born in this age.",0
83,"The commentary and reactions in this show are some of the best things about it, especially as it depicts things much more differently than we normally would     just like the monkey commentary from before ",1
84,Speak for yourself im as excited as Chrome to see whatever Senku comes up with.,1
85,Not just the science but the craftsman is also something to be respected,1
86,I loved how no one said a word after she put on     womanlytears,1
87,"It was really amazing in the manga already. It's a great example of panelling: you get all these small panels with close-ups before Suika puts the glasses on - then when she does, a close-up of a sunflower drawn in  incredible  detail, and that amazing two-page spread of the sunflower field in wide angle. It was a really powerful moment, and entirely delivered with visual storytelling. Boichi knows his shit.",1
88,High detail close-ups and landscapes are two of the things Boichi absolutely  kills  pretty much every time. It's wonderful seeing them in color with music.,1
89,"I had to look it up, that's gorgeous",1
90,The close up of the one flower is good too,1
91,what chapter is it? I want to see the general panel-work,1
92,28,2
93,It could be nice gag if instead of sumflowers she would see close up of far red house or red ballon,1
94,I hope that i'm not the only grown man that cried like a little bitch,0
95,I'd expect any properly grown-ass man to cry at that shit. That scene was  beautiful ,0
96,"Wow, did not expect to see that here. Why did you have to bring that back up ;.;",1
97,You should probably spoiler tag that.,2
98,"This comment has been removed.    -  This comment was removed due to untagged or improperly tagged spoilers.      Text and link posts should be properly spoiler-tagged and should include the names of the shows referenced in the title. Text posts may opt to tag spoilers in the Text post instead. Using the same format as comment spoilers below      Comments should use ` ""Spoiler content here""` to protect spoilers, where the spoiler source is where the spoiler comes from e.g. One Piece episode 200, or if it's from a different medium, LNMangaVN. Spoiler source is only required in the first of any set of spoilers for the same source.        It should be noted that unadapted material can still be considered a spoiler.        Obviously intentional or excessively repeated violations of this rule will result in a ban.        Images can be tagged with spoiler with a simple ""Spoiler Warning!"" before the link or in the link itself.      Reply to this message once you have tagged the appropriate parts to have your comment reapproved.       For more info about what is a spoiler, please check out our full rule page section..          ---  Have a question or think this removal was an error?   Message the mods.      Don't know the rules? Read them   hereranimewikirules  .",0
99,"Everyone gets into anime at different times. If someone started watching One Piece today that would spoil them hard. That's why we have no statute of limitations on spoilers; no matter how old the series is no spoilers past episode 1, that's the rule.    Also your spoiler tags are broken so I can't reapprove the original comment.",0
100,"Crunchyroll's youtube channel put out a video yesterday about the production of Dr. Stone. It's a full explanation of the animation process and the people involved. They also go into a bit of depth about the mindset of this particular scene when adapting it to animation. Sadly I watched it before the episode so the glasses thing was a bit of a spoiler, but I still ended up tearing up a bit during that scene. It was just so well handled.",1
101,It just made me think of the first time I got glasses. All I remember is I couldn't stop smiling for quite a while. It's sad to think how many people could never see properly.,0
102,"As a kid I remember having 2020 vision and not really realizing it was degrading over time. By the time I was 16 we realized I needed glasses.        It's funny, when they tested me for the glasses I was in this sterile room and I thought nothing of it because I was just looking at the letters and shapes to confirm what prescription was needed.  A couple of days later I'm given my first set of glasses and try them on. I remember a sudden and uncontrollable urge to cry just by suddenly being bombarded by the details of everything around me, and that was just in the store. I walked outside and saw the grass, the trees. I don't think I'll ever forget that moment, seeing individuals leaves just being moved gently by the wind. I still tear up remembering about it.    Seeing her tear up, reminded me of that moment, it really hit home.",0
103,"I feel ya. Went through the same thing, only I spent a year bot realising I needed glasses. At some point I just started to take the fuzzy illness for granted.     I still remember putting on glasses and being amazed seeing the leaves on trees.     As I said then, it was like watching all your life in 240p and suddenly switching to HD.",1
104,Nothing quite like seeing a tree for the first time after getting glasses.,0
105,"I got glasses when I was Suika's age and it was really just a marvel. I couldn't stop staring at everything and seeing all the incredible detail. From my fingerprints, to the veins in a leaf... even the individual hairs on my parents' heads.    Especially seeing my dog with clear vision. That hit home so hard, cause I had a puppy at that age too. She was my constant playmate.",1
106,"I remember, I was in an asian buffet restaurant with some friends. As a joke I put on one of my friend's glasses and realised that you could see the leaves on the trees outside. I spent literally the next 45 minutes during dinner just staring at the leaves outside baffled by the details.",1
107,Did you get your own pair of glasses after that?,2
108,Took a bit but ya. I've had mine since middle school now and I'm 100% dependant on them.,2
109,I literally thought as a child that people drew trees' leaves as a green cloud-blob because it was impossible to see individual leaves from afar. Now I have LASIK operated eyes and it's definitely easy to lose perspective that it's magic how thanks to science I never even have to worry about not distuinguish objects again in my life.,1
110,same,2
111,"Dr Stone made me realize I've taken glasses for granted. Hell, I've taken everything for granted. This episode really almost made me just go ahead and binge the manga but the anime is too much fun.",1
112,"I can see  10 centimetres in front of me before everything becomes a blurry mess significantly more blurry than what suika saw in the show to the point I can't make out anything except colors    I've had this since the day I was born but I only got my glasses when I turned 16 because I was afraid of being made fun of at school and it was absolute hell I can tell you, science is truly a blessing on this world.",1
113,"I can totally relate to that scene when she clearly saw the sunflower field for the first time. I couldn't stop smiling when I put contacts on for the first time and started seeing the world around me in HD.    As a side effect, women got uglier.",0
114,It made me tear up how well done the scene was. They perfectly showed how it feels to not be able to see and suddenly the clarity of the world around you. I didn’t have glasses until I was almost 18 because I had no idea I needed them and the moment I got them made me cry.,1
115,Same here man. I'm 23 and I've had glasses since I was 4. I can't function without these damn things my vision is so bad now -12 prescription with a side helping of astigmatism.,1
116,"It's arguable that if you grew up without tech you probably wouldn't need glasses. An increase in short sightedness has been a biproduct of a literate society. More reading, more shortsightedness.",1
117,"It was a really great moment.    To gift someone one of their senses, even if it is correcting it, makes a huge impact on one's life.    It's nice to see that that was the first thing Senku did with it.    It's also amazing how he realized why she was wearing that thing in the first place.",1
118,"Yea I kinda teared up at that scene cuz it reminded me of when I first got glasses in like 3rd grade, I was just so blown away seeing the world clearly for the first time and seeing Suika experience it too was so adorable",1
119,"     This was such great writing! It just seems like a shonen quirk at first, or at most like it's going to be an arc about her being shy. But no, it's because little holes help with vision, Senku deduces this and tells her she isn't ""sick"".     Then you think she's going to ditch the helmet, but Senku instead makes her one with glasses because he knows she likes it. Great stuff.",1
120,"As someone who gave people the chance to see better Optometrist, this warms my heart. I love when my patients are very happy when they see things better from a worse eyesight.     Glasses are the foundation of eyeglasses but we have moved to a plastic material a long time ago to reduce the risk for the eyes in case of breakage. Grinding the glass to the right curvature giving the prescription grade is already hard enough. I'll just assume that Suika, and hopefully Kinro, are just a case of simple nearsightedness and not astigmatism as that will complicate the making of the lenses.",1
121,I can only shudder at the thought of the scratches her lenses will receive when she starts rolling off to places,2
122,It's anime glasses she'll be fine,1
123,When I found out that was why I saw lights at night as 'blurry' I was shocked to learn it wasn't the normal way of seeing it.,0
124,"Tbh, I kinda prefer it, it's aesthetic.",2
125,I loved the stone age eye exam with shapes instead of letters.,1
126,"it's not stone age, eye exams often use shapes for kids that can't read yet. although, I'm not sure what's the stance on reading in Dr. Stone.",0
127,"I think you can guess already but  ""they can't read or write, there's no written language that was passed on from the past. In a much later chapter it becomes a plot point that Kohaku needs to communicate a message in writing and she uses scribbles and ideograms to convey her meaning.""",0
128,"I'm glad that they kept the melon head for her,    even though she's cute without it.",1
129,"I'm excited for Kinro to get some ""angry teacher"" glasses so he can push them up in an annoyed manner",0
130,Same as much as I love our community I'd hate to see what some people would draw,1
131,Pft it’s like you don’t even know them. A melon helmet can’t defend you.,1
132,"This comment has been removed.    -  This comment was removed because it contains spoilers or hints about the source material, a spin off or unadapted content.     Asking or attempting to discuss the source material is also not allowed. Please use our source corner, where you can discuss upcoming events or adaptation differences, keeping in mind you are still required to use spoiler tags.      For more info about what is a spoiler, please check out our full rule page section..        ---  Have a question or think this removal was an error?   Message the mods.      Don't know the rules? Read them   hereranimewikirules  .",0
133,Oh wow this is a spoiler? I am not sure but hey Sorrry my bad,0
134,Suika is just too damn cute!!!,1
135,"Spent a whole 4 episodes waiting for that reveal. Then, when that face went from Moe Heaven to Crabapple, a little part of me died inside. ",0
136,"I remember having a similar awe-struck feeling when I first got glasses back in middle school. I had just been so used to seeing blurry that it was normal for me.    Then I put on my first pair of glasses and I lit up like a kid in a candy store.    This scene reminded me of that and yeah, it got to me too.    I think anyone who, like me, was born or at least developed nearsightedness very early in life can just super relate to this scene. It's crazy how much just  seeing  things for basically the first time ever is such an emotional moment, and you realize that you've just had a whole ass part of you restored.",1
137,I cry once an episode at this point.,0
138,"I love that there was no dialogue there. There really aren't words for your first sight with glasses, especially if you've had bad eyes from birth. There are few experiences like it - in an instant,  everything  changes, but at the same time, you know that nothing changed but you. This is how the world has always been and you just never knew until that moment how much you were missing out on.",0
139,They really handled the scene perfectly!,1
140,"Oh, so that's why Suika was wearing that thing on her head? I wonder at what point will Senku become aware that Kinro also needs a pair of glasses.     It comes to no surprise that the highly skill crafter literally looks like a dwarf.",1
141,I'm suspicious that's how they'll win the grand bout.  Either that or Senku will build Chrome a flamethrower.,1
142,"Yes, Suika  ""the stone world`s first meganeko""!",1
143,"AWW    Glasses are such an achievement in science. Throughtout 8th grade my vision started going bad, and I ended up having to stand close to the board to see what was written on it, always squinting like Suika. Putting on my glasses for the first time was amazing because I hadn't been able to see clearly for months. That's what Suika felt when she put her glasses on. The world suddenly becomes clear and beautiful and you're actually able to appreciate the details.    So while Suika is nearsighted, Kinro's farsighted    These are the faces of failure    Little Kohaku!    Kaseki's freaking ripped!",1
144,Great screenshots.    Glasses are seriously amazing.    We use them for so many different things.,1
145,One of the main reasons I come to discussion threads sometimes are just to see stitches and gifs of some scenes,2
146,Have      mugistronk,2
147,     ripping his shirt purely through mussels flexing was bad ass as fuck,1
148,If you're not watching Dumbbells already you're going to enjoy Machio.,1
149,"     I don't think Kinro is farsighted. Any thing within arms reach is considered near distance. His problem is perceiving the incoming attack when he have the reach advantage of a spear. Another sign is him squinting making his eyes looking like mad. Squinting is a natural reaction for our eyes to see better. Remember the pinhole effect that Senku said, squinting can make your field of vision as small as possible thus seeing a bit better.",1
150,"Actually, I think all of that may be a sign of him being farsighted. Being farsighted means it takes a lot more effort to see close objects, so a fast incoming object might be hard to see clearly the eyes haven't had time to adjust. Squinting is then just a reaction to straining your eyes.",2
151,"     The first part of your statement is true but a fast  incoming  object is still from a far distance. In Kinro's case he is having the hard time determining the proper distance from the incoming attack. Depth perception is also the problem here. Depth perception is the visual ability that enables you to make spatial judgments, including how far away an object or person is from you.         It is the opposite. As I said it makes your vision a bit better and the straining your eyes is the secondary effect so you really don't want to do that all the time when you have nearsightedness just to see clearly. Let the lenses do clarification for you.",1
152,"I'm actually farsighted myself not very much either, and I can tell you it made it quite a bit harder to gauge distance when playing badminton for example. Having to adjust your eyes to track the incoming object is very tiring.    Anyway, Ginro mentioned that Kinro, like Suika, has ""blurry-eyes disease"", so it's clearly not just a problem with depth perception. It's probably far-sightedness, near-sightedness but I guess not as bad as Suika, or maybe strabismus though I don't know much about that.",1
153,"     No, Yes not as bad as or near as Suika's, and Strabismus is commonly known as cross-eyed or one or both the eyes are misalignednot centered so definitely not that.    EDIT:          I would like to emphasize on this. Having blurry eye as a disease is a very common misconception and I'm glad Senku clarified it too. Refractive Error is not a disease and not a defect. The closest term I can personally give is it is a  structural error  that the eye can't manage to focus the light exactly on to the retina",1
154,So then what's the solution to that?,1
155,I'd assume glasses as well? If he's shortsighted that is.    IIRC It's a lot more complex to make farsighted glasses,1
156,He needs glasses like Suika. But he doesn't know about them and he's too proud to speak up about the issue.  Hopefully he finds out about them from Suika.,1
157,"I might have worded that poorly. He has nearsightedness and still the same solution, glasses.     The kind of glasslenses will be different in correcting nearsighted and farsightedness though. To correct a nearsightedness you will a need a concave lenses while on the other hand you will need a convex lenses to correct farsightedness.",1
158,Glasses with reversed curvature if he's farsighted. Low key isn't this farisghted stuff a spoiler though I'm anime only,0
159,"I think people are assuming, and I think they're assuming wrongly.     Idk I'm anime only",0
160,It'd really freaking suck if he needed eye surgery or something. I don't think Senku can take THAT risk.,0
161,"I got really emotional watching that scene. I didn't get my glasses until I was about 16 years old. I always had to sit near the front and it sucked when teachers wanted assigned seats because I just couldn't take notes. Finally, I went to an eye doctor and got some glasses and walking outside and seeing that the world actually had detail and you could make out what was 10 feet ahead of you was amazing. Trees had shapes. Clouds weren't just blobs in the sky. Signs were actually readable.     This one sequence has really made me appreciate both this series and the fact that someone discovered how to fix vision way back when.",1
162,"I've heard teachers tell stories about the kid who they thought came up and stood close to the board because they wanted attention, but then they got glasses and stopped.",0
163,"It's kinda weird, since we've always taken glasses for granted, but only now we can see how it is for people who discover it for the first time",1
164,     I had shit eyesight since I was a child. Some teachers thought I was an hyperactive kid or even a troublemaker because I kept getting off my seat.    I was just too blind to see the board and kept standing to walk to it and see what was actually on it.,0
165,"10 years ago my biology teacher always said that without science almost noone would need to have glasses, since only the ones with actually good eyesight could survive in a primitive environment.",1
166,her squinting face reminded me of the old shopkeep alien with a volcano head from redline.,2
167,"It was so sweet, I think I got Diabetes when Suika got her   labor potential   sight back.     That was a useful melon, both for espionage and improving her vision.",1
168,and her face reveal though,2
169,TOOOOUUUURRRRRNAMEEEEENT AAAAAARRRRRRC,2
170,And probably the most ridiculous one out of any shounen in a good way. I'm so excited.,1
171,I would like Chrome to participate and win that tournament for Ruri's sake.,1
172,"No amount of science or friendship power would make Chrome win the tournament, he just isn’t a fighter    Edit: science in it’s current stage can’t, i don’t think it could help Chrome  until  the tournament starts",1
173,Make guns real quick nobody will notice,2
174,parry this you casual.jpg,2
175,F2P vs P2P,2
176,Power of G U N,2
177,"They already have gunpowder and iron, Wouldn't be terribly hard to invent an early blunderbuss.",1
178,Showing up to the tournament arc in an Apache helicopter.,2
179,"  NANOMACHINES, SON  ",2
180,"He did say they were going to catch up to and  go beyond  where we were scientifically when the Great Stoning happened, so sure why not",1
181,"Bro have we been watching the same show? Friendship can get fucked, we are all about the power of SCIENCE.",0
182,"Yes, i was actually planning on saying something like that, but i decided to say what i said because neither science or friendship power can help him right now so it doesn’t matter which one i choose to say because both are the same thing, Chrome is weak and there’s nothing that can change it before the tournament starts",0
183,"Magma got mind fucked when Gen hid some flowers, you dont think Chrome can come up with something to help him best Magma?",1
184,"After the flowers trick Gen got beaten so hard that the only reason he was alive was because he was using fake blood bags, if Chrome does something similar what do you think will happen? And also i don’t think they would allow traps, venom or other tricks.",0
185,"Only gotta win once, and I doubt they have rules for things they cant even imagine",1
186,to use the words of someone else in this thread somewhere      FLAMETHROWER  ,2
187,Magma will just make sure to hit before he finishes his incantation.,1
188,Give Chrome some knock out chemical and all he needs to do is get it on Magma's face.  Game over for Magma.,2
189,Would the village allow that?    Would they allow “sorcery”?,1
190,"How would they know what is going on?  It doesn't have to be some flashy powder cloud, but something on Chrome's hands that is invisible and that Chrome has taken the 'antidote' for.  Magma all off a sudden feels really really really weak, and Chrome bitchslaps him to the ground.  Then Chrome neutralizes the chemical ringside and game over.  The village would be utterly clueless.",0
191,Could work,2
192,Making such chemicals are hard though. They’re incredibly sensitive to dosage on top of that.,1
193,Well that's true.  But I would suppose you could just refine something from nature.,1
194," Enter ""Chrome Man"" Mark I ",2
195,What makes it so crazy? I don’t personally mind spoilers.,0
196,"It's crazy in the sense that it's super creative with some stuff, outsmarting your opponents etc. It's not your usual power through and get strong type of fights, similar to how HxH in a way, but the creativity goes a bit over the top :. Which is a great thing since the series is supposed to be science based for the most part.",1
197,any idea on how many episodes it might last?,2
198,"If I had to guess, probably 2.5-3 episodes. It is pretty short for a tournament arc, but that is to be expected when you have such a small village.",1
199,You clearly must watch more Shonen,1
200,Did any JoJo parts ever had a tournament arc?,2
201,Joseph in Kars' mansion and vs Wamu in the finals was the ultimate tournament arc ofc,2
202,"I said the most ridiculous one, not the best one",0
203,I know,2
204,"I mean I honestly can't think of any shounen with a more ridiculous tournament arc that was ridiculous in a good way. Though tbf, I haven't completely read or seen pretty much any of older shounen 80's and 90's because they tend to have pretty much only action and barely any plot at all.     I'm guessing sth that might get a ridiculous tournament arc later on might be Jojo. But I haven't watched past the first season because I didn't really enjoy the first two parts. It's just that I can't enjoy action heavy shounen with no plot. I might still continue watching someday because later parts might have more plot and thus might be more enjoyable. Or they might have other elements that make them enjoyable for me instead.",1
205,"The only comparable one is hunter x hunter, but I'd say that's hardly the best part of the series, if not mistaken it's considered one of the worst arcs of the series along with the island one, ironically I loved both. But like dr.stone it focuses more on outsmarting the opponent instead of the typical shonen power through will or some power up out of nowhere. Gon vs Hisoka is probably my favorite fight of all shonens and it's from that tournament, i'd tell you to watch it but it might be hard to understand some stuff without context.        Yu Yu hakosho also has a tournament arc that is pretty great.",1
206,"I mean, I would hardly call the tournament arc in HxH ridiculous. It's been over 3 years since I watched the anime, so I don't remember much. I'm assuming you mean Heavens Arena and not the Hunter Exam since you mentioned Gon vs Hisoka.    I tried getting into Yu Yu Hakusho, but eventually stopped reading during the Dark Tournament, because I was unable to enjoy it. It was just pure action without plot all the time. There was neither comedy nor great character interactions to make up for the lack of plot, which is why I was unable to enjoy it. I guess I just read up until the Dark Tournament because I heard of how great it is and then ended up being disappointed.    I get why others enjoy these kinds of shounen, but it's simply not the type of shounen I enjoy. I need at least plot, comedy or good character interactions on top of action to enjoy a battle shounen. Though what I consider good characters or good character interactions is quite different from what a lot of others think.    For me, characters usually get enabled through plot and comedy. So if neither is there or both of them are unenjoyable, I often can't come to like the characters either. In most cases, either plot or comedy is enough to enable the characters and make me like them. So it doesn't take both. Most 90's shounen manga or anime I've read or seen didn't really have a plot and if they have comedy, it's often pretty outdated.     Though tbf, I haven't seen or read that much from the 80's or 90's. So I'm not going to judge stuff I haven't seen yet based on this. However I still go in with low expectations when reading or watching older stuff, especially when it comes to shounen.    And tbh, for the exact same reason, I didn't enjoy the beginning of One Piece, because it was too action heavy. I only really started enjoying it when they entered the Grand Line and now it's not surprisingly one of my favourite manga.",1
207,"Yu Yu Hakusho does have that issue, but I don't think HxH has it. I don't think there's any battle shonens  100% without the issues you mentioned besides HxH and some recent ones, but if you go outside the spectrum a bit you find a lot of old stuff with good character development, the problem is that usually those series are half episodic, trigun comes to mind in that regard, or are full episodic like cowboy bebop which is something you stated not to like because there's not long running plot. I have the same opinion tbh, if there isn't a main plot it's hard to like a show, I don't mind episodic stuff if there's a main plot behind it. Regardless I still watch everything since I have a lot of time nowadays :         Hitman Reborn is episodic at first as well but gets good halfway through, I wouldn't recommend it nowadays tho.  It's hard to recommend older stuff in the battle genre mainly because of the older animation, especially long running shows like hitman reborn, rurouni kenshin and yu yu hakusho suffer a lot from that, 90% of the enjoyment of those shows are the battles, unless you're used to old animation, you won't like it nowadays. The manga's are great tho, Air gear for example, the anime has really shitty fights animation wise, but the manga has great panels and holds up even today  I didn't like either one but it's a good example . But at the time they were released that animation was great.        Not to say that there aren't any good older animated shows, eureka seven the original not the crappy AO has insane animation for the time, I'd even state that it beats 90% of the new shows on that regard, same with trigun, cowboy bebop, black lagoon, among others. But inside the battle shonen especifically the animation was really poor just due to how their releases were designed, I wish these shows were all remade like HxH 2011.         If there's an older battle shonen that I'd recommend even nowadays is Baki tv not the ovas, has good character development, has an overarching plot, it's smart battle wise more about technique instead of raw power, and the animation is really good and watchable even nowadays. Baki has two main parts, like dragon ball it starts with him young, and then you have the other arcs where he's grown up, the first part has worse animations and there's definitely parts that are kinda boring but the second part is great, also has a tournament arc. I can't recommend the netflix series, that cgi ruins everything, I'd say just watch the original tv show and for the new arcs read the manga.",1
208,"I mean, you're right although Naruto for example had a plot until the war. So the issue didn't arise until shortly before its conclusion.  Back when I read it, I didn't really mind it in that case, but I guess my taste changed since then.      I actually don't really mind episodic stuff if there's good comedy or the characters are well written. Gintama is among my favourite anime of all time despite being episodic for the most part. Though it has a plot as well, but I still really enjoyed the episodic parts. Another episodic show I really enjoyed was Asobi Asobase, though again it's mainly because of the comedy.    I actually haven't seen Trigun yet and I only watched the first episode of Cowboy Bebop, but never got to watch further. Good to know that I shouldn't be expecting a full fledged plot from them. Otherwise I would've probably gone in with too high expectations.    Yeah, I agree that older shows tend to be mostly about fights. Personally, I prefer it if the characters fight for plot reasons and not just for the sake of fighting. I haven't seen Hitman Reborn yet, but have it on my plan to watch list. And I agree with the old animation. It's another reason why I usually don't watch older anime pre 2006. Though there are some anime after 2006 that still have the dated animation. Though there are some exceptions like Monster or Gintama's first season where I didn't mind the 4:3 ratio and the older animation. Though they both had pretty good animation.    I actually watched the first 9 episodes of Eureka Seven, but didn't really enjoy it up until that point. I guess Renton was too annoying for me as an MC. It was already more than 2 years ago though so I don't remember that much.    I wasn't even aware the Baki OVA's were sequels of an older tv anime. Good to know because they were on my plan to watch list. Now I'm going to replace them with the prequel I guess. I will watch them sometime, but probably not all too soon.    I mean I would really like to find a good shounen anime I haven't seen yet that has the newer animation. I guess Sket Dance is the only one that comes to mind that I haven't seen yet, but probably should watch very soon. I know it's very similar to Gintama, so I'll probably like it. Oh, and I have to finally get up to date with Kimetsu no Yaiba.    Other than that, I've seen pretty much everything from Shounen Jump that got an anime. Though I dropped Black Clover and Kuroko no Basuke. I still kinda follow the Black Clover manga just because I got into it when the first chapter dropped and I still liked the kind of action heavy anime and manga. But now I just follow it for the sake of it, but don't really enjoy it much anymore, mainly because of some directions the writing has taken. I mean it has more plot than older manga, but it's still mainly just fights the whole time and the plot has lots of flaws.    So I'm mainly just reading currently running manga in Shounen Jump and trying out the new ones hoping it is something I enjoy. Though there are also new manga that end up surviving that I don't enjoy like Jujutsu Kaisen and Chainsaw Man. But stuff like Dr. Stone except for the first arc or Act-Age are great. From the newest batch, Mission Yozakura's Family is good so far.",1
